Nome Completo|E-mail|Data de Nascimento
Laura Ferreira|laura.ferreira@example.com|10/09/1992
Patricia Lima|patricia.lima@example.com|16/05/1985
Laura Ferreira|laura.ferreira@example.com|28/10/1957
Lucas Gonçalves|lucas.gonçalves@example.com|08/06/1997
João Silva|joão.silva@example.com|21/09/1962
Ana Souza|ana.souza@example.com|23/08/1982
Patricia Lima|patricia.lima@example.com|04/07/1956
Rafael Alves|rafael.alves@yahoo.com|21/11/1962
Maria Santos|maria.santos@example.com|15/08/1994
João Silva|joão.silva@example.com|25/01/1986
Pedro Oliveira|pedro.oliveira@email.com|20/03/1950
Pedro Oliveira|pedro.oliveira@yahoo.com|08/12/1951
Maria Santos|maria.santos@email.com|21/10/1980
Ana Souza|ana.souza@hotmail.com|21/02/1985
Laura Ferreira|laura.ferreira@yahoo.com|09/10/1988
João Silva|joão.silva@gmail.com|17/07/1963
Patricia Lima|patricia.lima@email.com|08/03/1995
Carlos Pereira|carlos.pereira@email.com|11/12/1960
Carlos Pereira|carlos.pereira@hotmail.com|17/09/1973
Pedro Oliveira|pedro.oliveira@gmail.com|23/05/1973
Patricia Lima|patricia.lima@example.com|27/09/1957
João Silva|joão.silva@example.com|21/02/1988
Maria Santos|maria.santos@gmail.com|14/08/1971
Patricia Lima|patricia.lima@hotmail.com|13/06/1984
Lucas Gonçalves|lucas.gonçalves@email.com|03/05/1953
João Silva|joão.silva@email.com|19/04/1982
Laura Ferreira|laura.ferreira@hotmail.com|18/10/1985
Patricia Lima|patricia.lima@yahoo.com|13/02/1984
Carlos Pereira|carlos.pereira@yahoo.com|11/03/1952
Laura Ferreira|laura.ferreira@gmail.com|19/09/1955
Sandra Rocha|sandra.rocha@gmail.com|03/09/1950
Rafael Alves|rafael.alves@email.com|21/09/1953
Ana Souza|ana.souza@yahoo.com|06/07/1959
Ana Souza|ana.souza@yahoo.com|28/05/1995
Carlos Pereira|carlos.pereira@gmail.com|13/03/1990
Ana Souza|ana.souza@example.com|28/05/1957
Pedro Oliveira|pedro.oliveira@gmail.com|25/05/1964
Ana Souza|ana.souza@email.com|09/12/1984
Lucas Gonçalves|lucas.gonçalves@example.com|02/04/1980
Lucas Gonçalves|lucas.gonçalves@example.com|07/08/1991
Rafael Alves|rafael.alves@email.com|26/04/1988
Patricia Lima|patricia.lima@gmail.com|14/01/1990
Maria Santos|maria.santos@hotmail.com|10/01/1989
Pedro Oliveira|pedro.oliveira@email.com|02/06/1975
Laura Ferreira|laura.ferreira@hotmail.com|25/01/1973
Laura Ferreira|laura.ferreira@yahoo.com|01/11/1984
Pedro Oliveira|pedro.oliveira@yahoo.com|01/07/1979
Ana Souza|ana.souza@email.com|11/10/1956
Rafael Alves|rafael.alves@gmail.com|18/04/1976
Pedro Oliveira|pedro.oliveira@example.com|27/02/1976
Rafael Alves|rafael.alves@yahoo.com|23/05/1992
Pedro Oliveira|pedro.oliveira@example.com|01/12/1997
Lucas Gonçalves|lucas.gonçalves@email.com|06/09/1968
Laura Ferreira|laura.ferreira@hotmail.com|15/01/2000
Maria Santos|maria.santos@yahoo.com|25/01/1974
Sandra Rocha|sandra.rocha@email.com|22/02/1981
Patricia Lima|patricia.lima@hotmail.com|18/08/1987
Rafael Alves|rafael.alves@yahoo.com|02/07/1981
Pedro Oliveira|pedro.oliveira@hotmail.com|14/09/1977
Lucas Gonçalves|lucas.gonçalves@example.com|07/12/1979
Patricia Lima|patricia.lima@hotmail.com|07/02/1963
Ana Souza|ana.souza@example.com|16/07/1989
Lucas Gonçalves|lucas.gonçalves@example.com|06/02/1984
Pedro Oliveira|pedro.oliveira@hotmail.com|27/04/1969
Patricia Lima|patricia.lima@example.com|10/01/1997
Pedro Oliveira|pedro.oliveira@yahoo.com|08/03/1964
Maria Santos|maria.santos@yahoo.com|02/04/1979
Maria Santos|maria.santos@gmail.com|24/11/1984
Patricia Lima|patricia.lima@hotmail.com|16/04/2000
Lucas Gonçalves|lucas.gonçalves@gmail.com|23/02/1980
Maria Santos|maria.santos@hotmail.com|18/01/1982
Lucas Gonçalves|lucas.gonçalves@hotmail.com|28/11/1986
Pedro Oliveira|pedro.oliveira@yahoo.com|13/03/1988
João Silva|joão.silva@hotmail.com|07/12/1989
Maria Santos|maria.santos@example.com|28/09/1958
Maria Santos|maria.santos@example.com|10/06/1980
Lucas Gonçalves|lucas.gonçalves@gmail.com|28/06/1977
Ana Souza|ana.souza@hotmail.com|13/05/1958
Carlos Pereira|carlos.pereira@hotmail.com|05/01/1987
Sandra Rocha|sandra.rocha@yahoo.com|15/12/1955
